model,Recall@5,NDCG@5,MRR@5,Recall@10,NDCG@10,MRR@10,Recall@50,NDCG@50,MRR@50,ColdRate@10,Coverage@10,PopularityBias,Fairness,Novelty,Diversity,CalibrationBias
ConvMF_s_synth_dense,0.0010367762128325507,0.0012446410933719216,0.002836463223787167,0.002347417840375587,0.0017493055291718017,0.0034768797973023322,0.03555038141305747,0.009605049336542206,0.005582276552114592,0.6416666666666666,0.5614349775784753,0.2802631578947368,0.7992683782759891,7.447273126397033,0.0,0.0
CTR_s_synth_aspect,0.03091405958344431,0.02597998056196629,0.02981220657276995,0.04340753897833217,0.029724736165949037,0.03242277740517177,0.12692611454657415,0.049593312394251486,0.03749689834272453,0.6933098591549295,0.9937219730941708,0.23146157647640228,0.8084081246096981,7.994218699670589,0.0,0.0
CDL_s_synth_aspect,0.006525262687234518,0.005726781586175779,0.006729264475743348,0.013860943438408229,0.008068811015453,0.0077902600789924725,0.049631242621420525,0.01685033183209932,0.010214224289176796,0.6630281690140845,1.0,0.25481220657276993,0.6965156342095116,7.793576293115726,0.0,0.0
HFT_s_synth_aspect,0.0020260451598479766,0.001439371218686364,0.0017018779342723004,0.003721402489008122,0.0020987485295266054,0.0023082942097026604,0.028934547832805798,0.008435579753530582,0.0040379886193681646,0.8070422535211269,0.1363228699551569,0.2614035087719298,0.8341524481797061,7.496584285940401,0.0,0.0
ConvMF_s_synth_aspect,0.0015761234071093228,0.0010659661747963684,0.0011150234741784037,0.0016378975608034169,0.0011287946636420998,0.001310641627543036,0.010901814395142786,0.0032383227785489836,0.0018888078932614658,0.931924882629108,0.3031390134529147,0.10377440079070917,0.7493414125416844,9.21211968507662,0.0,0.0
CTR_m_synth_dense,0.029767070436084522,0.026151700810728856,0.03034037558685446,0.04248021577988219,0.03013562338724542,0.033147961845144944,0.11365528587081589,0.0473442155126011,0.03749143144294134,0.6289906103286386,1.0,0.26189152458611314,0.7147777299202607,7.740468802010831,0.0,0.0
CDL_m_synth_dense,0.006525262687234518,0.005744226741493108,0.006787949921752738,0.012393807288173487,0.0075474108306576426,0.007557381324986958,0.05223016951612207,0.017209151422999943,0.010243539715391992,0.6625586854460094,1.0,0.2549172226340499,0.6973405392235736,7.791773234642692,0.0,0.0
HFT_m_synth_dense,0.0029147104851330197,0.0021222180770330405,0.003423317683881064,0.006240219092331768,0.0032279626337805714,0.00396918548326999,0.027176992934035187,0.008109852451205844,0.005342483264849293,0.6803990610328637,0.5112107623318387,0.2822769953051643,0.7579705422686489,7.494769103393065,0.0,0.0
ConvMF_m_synth_dense,0.0021517996870109544,0.0014864525489338737,0.002288732394366197,0.004121022430881586,0.002264286760812669,0.0029147104851330206,0.013716387016053436,0.004738950959117436,0.003626288242872945,0.8044600938967137,0.5426008968609866,0.1582592043489004,0.6658267852101345,8.682399400757136,0.0,0.0
CTR_m_synth_aspect,0.03204864487295918,0.027331025248061143,0.032511737089201874,0.045596599265984,0.03141163065270361,0.03488104553245398,0.11307642951453181,0.04767306483035212,0.0389191656224462,0.6288732394366197,0.9991031390134529,0.2625957499382258,0.705973327653623,7.742972435194306,0.0,0.0
CDL_m_synth_aspect,0.006357589984350548,0.00559023017164294,0.006787949921752738,0.01134585289514867,0.0072880411236002085,0.007597902228183918,0.04965918807190119,0.016769629914504744,0.010200549770091303,0.6642018779342724,1.0,0.25462070669631826,0.6973160809707766,7.792689412627566,0.0,0.0
HFT_m_synth_aspect,0.002171361502347418,0.0016876175375738125,0.0022496087636932707,0.003971048513302035,0.0022944583403854955,0.0026571465832029213,0.03115807417605046,0.008713106413211059,0.00436434555324617,0.8082159624413147,0.14439461883408078,0.2622436372621695,0.8338663820157395,7.492562693103182,0.0,0.0
ConvMF_m_synth_aspect,0.0018223375339757844,0.0011585791877285713,0.0012715179968701095,0.00207384658830174,0.0012774775641522804,0.0015565615917728594,0.03556024254689933,0.009299944287726639,0.003974430182079391,0.7156103286384977,0.5704035874439464,0.247374598468001,0.7439353086696262,7.783177139259737,0.0,0.0
CTR_l_synth_dense,0.03202599434993801,0.026663046847367766,0.031161971830985916,0.044952922389912754,0.030950410856179052,0.034053394440718386,0.10563079210688552,0.04594925940517556,0.037831007450828326,0.6322769953051643,1.0,0.26219421793921416,0.7171961740857477,7.744287744476782,0.0,0.0
CDL_l_synth_dense,0.006357589984350548,0.00559023017164294,0.006787949921752738,0.01134585289514867,0.007299218665045167,0.007614203740964305,0.050078369829111125,0.016776892912846734,0.010177958187761668,0.6604460093896715,1.0,0.2555596738324685,0.6968944747886965,7.787379029716212,0.0,0.0
HFT_l_synth_dense,0.003051643192488263,0.0018710569000574078,0.0022300469483568074,0.004725575676279901,0.002609494405324449,0.0031275616662940603,0.029174584544302856,0.008629740796929141,0.004911591496815308,0.7814553990610328,0.2699551569506725,0.2708302446256486,0.8302263628668678,7.450506840547917,0.0,0.0
ConvMF_l_synth_dense,0.0029342723004694834,0.00150451958143027,0.0011150234741784037,0.007796780684104627,0.0033669150188744695,0.0024512817646620464,0.040313469511023256,0.011111033107652827,0.0046280609384645,0.6204225352112677,0.5587443946188342,0.26788361749444034,0.7165543685748843,7.6850633204920955,0.0,0.0
CTR_l_synth_aspect,0.030735208700368076,0.025522348184950715,0.028638497652582157,0.046250988564739484,0.030273176779490218,0.031821950219837546,0.12168935106296115,0.048252674172980056,0.036407746765763284,0.6977699530516432,0.9955156950672648,0.23102915740054358,0.8077486705683385,7.998013997093784,0.0,0.0
CDL_l_synth_aspect,0.006525262687234518,0.005744226741493108,0.006787949921752738,0.012519561815336465,0.00763286078207422,0.007744615843207392,0.04965918807190119,0.016752419252684274,0.010222656576804845,0.6631455399061033,1.0,0.2548369162342476,0.6980912039118633,7.790103204358969,0.0,0.0
HFT_l_synth_aspect,0.0,0.0,0.0,0.002258500497937118,0.0008360110258710143,0.0005994299128101945,0.022136393587468457,0.005605421734100454,0.0019169936350817026,0.8474178403755869,0.3811659192825111,0.24566345441067455,0.8591651239085484,7.59550470686139,0.0,0.0
ConvMF_l_synth_aspect,0.00013041210224308815,0.00019903767915118318,0.00039123630672926443,0.00013041210224308815,0.00013793752899911112,0.00039123630672926443,0.0017015347445295554,0.0007140806852643312,0.000746157505047005,0.971244131455399,0.27892376681614356,0.06975537435137136,0.906737330575061,9.557294950995242,0.0,0.0
