model,Recall@5,Recall@10,Recall@50,NDCG@5,NDCG@10,NDCG@50,MRR@5,MRR@10,MRR@50
ENS_BPR__CTR_meta_human_rrf_k30,0.024398241299649747,0.042576291079812215,0.042576291079812215,0.01861328891676789,0.025192079955793777,0.025192079955793777,0.021087636932707352,0.0249026566808257,0.0249026566808257
CTR_m_synth_dense,0.029767070436084522,0.04248021577988219,0.11365528587081589,0.026151700810728856,0.03013562338724542,0.0473442155126011,0.03034037558685446,0.033147961845144944,0.03749143144294134
ENS_BPR__CTR_meta_only_borda,0.027010840071440514,0.04161792703768241,0.04161792703768241,0.018376090830003716,0.023288317181857823,0.023163790266599586,0.019385758998435053,0.02209926224010731,0.02209926224010731
ENS_BPR__CTR_meta_only_wBorda_0.5_0.5,0.027010840071440514,0.04161792703768241,0.04161792703768241,0.018376090830003716,0.023288317181857823,0.023163790266599586,0.019385758998435053,0.02209926224010731,0.02209926224010731
ENS_BPR__CTR_m_synth_aspect_wBorda_0.1_0.9,0.03204864487295918,0.041526344403475614,0.041526344403475614,0.027331025248061143,0.030165081494743944,0.030069615573695255,0.032511737089201874,0.034483754378120575,0.034483754378120575
ENS_BPR__CTR_l_synth_dense_rrf_k10,0.029019529635726824,0.0413651923057038,0.0413651923057038,0.02015825364070282,0.024361534753415612,0.024327074885539056,0.02188967136150235,0.02422637677919368,0.02422637677919368
ENS_BPR__CTR_s_synth_aspect_rrf_k120,0.021810958342648484,0.04131797920252331,0.04131797920252331,0.01562657954781573,0.022791698882003313,0.02272858672752286,0.017762128325508608,0.021830985915492956,0.021830985915492956
ENS_BPR__CTR_s_synth_aspect_rrf_k60,0.021810958342648484,0.04131797920252331,0.04131797920252331,0.015575143220540082,0.02274026255472766,0.022677150400247214,0.017703442879499216,0.021772300469483565,0.021772300469483565
ENS_BPR__CTR_s_synth_aspect_rrf_k90,0.021810958342648484,0.04131797920252331,0.04131797920252331,0.01562657954781573,0.022791698882003313,0.02272858672752286,0.017762128325508608,0.021830985915492956,0.021830985915492956
ENS_BPR__CTR_m_synth_aspect_wBorda_0.3_0.7,0.03369044008869806,0.0411316761993189,0.0411316761993189,0.027571068407363675,0.029832190260994436,0.02971082413960001,0.03268779342723005,0.03431282137268053,0.03431282137268053
ENS_BPR__CTR_s_synth_aspect_rrf_k30,0.020554215332754987,0.040965866526466964,0.040965866526466964,0.015456516639725951,0.022693985938686437,0.022620503226897452,0.01832942097026604,0.02198375437812057,0.02198375437812057
ENS_BPR__CTR_m_synth_aspect_borda,0.02646002053433484,0.040866194419752616,0.040866194419752616,0.01818043021177953,0.023006305549538874,0.022914938520437314,0.019835680751173708,0.02244811461360757,0.02244811461360757
ENS_BPR__CTR_m_synth_aspect_wBorda_0.5_0.5,0.02646002053433484,0.040866194419752616,0.040866194419752616,0.01818043021177953,0.023006305549538874,0.022914938520437314,0.019835680751173708,0.02244811461360757,0.02244811461360757
ENS_BPR__CTR_meta_only_rrf_k30,0.026448334255042928,0.040855016239560345,0.040855016239560345,0.017422767350844498,0.0226813125046836,0.02261402626681097,0.018368544600938966,0.021297693568820327,0.021297693568820327
ENS_BPR__CTR_s_synth_dense_borda,0.024573702626890175,0.040456965165082286,0.040456965165082286,0.01701264094472152,0.022471343683366767,0.022428632090334535,0.018485915492957746,0.02167355987778523,0.02167355987778523
ENS_BPR__CTR_s_synth_dense_wBorda_0.5_0.5,0.024573702626890175,0.040456965165082286,0.040456965165082286,0.01701264094472152,0.022471343683366767,0.022428632090334535,0.018485915492957746,0.02167355987778523,0.02167355987778523
ENS_BPR__CTR_m_synth_dense_rrf_k120,0.022251099187718906,0.04039218252987712,0.04039218252987712,0.014975949413399008,0.021800011146810523,0.02174336280092628,0.016158059467918623,0.020029901632014308,0.020029901632014308
ENS_BPR__CTR_m_synth_dense_rrf_k60,0.022251099187718906,0.04039218252987712,0.04039218252987712,0.01436332609950149,0.021187387832913008,0.021130739487028764,0.014945226917057904,0.01881706908115359,0.01881706908115359
ENS_BPR__CTR_m_synth_dense_rrf_k90,0.022251099187718906,0.04039218252987712,0.04039218252987712,0.014515172419006232,0.02133923415241775,0.021282585806533506,0.01547339593114241,0.019345238095238096,0.019345238095238096
ENS_BPR__CTR_m_synth_dense_wBorda_0.1_0.9,0.029767070436084522,0.039946960693810214,0.039946960693810214,0.026151700810728856,0.02937534494493349,0.02929566097008175,0.03034037558685446,0.03298028914226097,0.03298028914226097
ENS_BPR__CTR_l_synth_dense_borda,0.02634264964231606,0.03983750767942762,0.03983750767942762,0.018246911530954445,0.022774985346160907,0.02273526592541909,0.020305164319248826,0.022671678217452862,0.022671678217452862
ENS_BPR__CTR_l_synth_dense_wBorda_0.5_0.5,0.02634264964231606,0.03983750767942762,0.03983750767942762,0.018246911530954445,0.022774985346160907,0.02273526592541909,0.020305164319248826,0.022671678217452862,0.022671678217452862
ENS_BPR__CTR_meta_only_rrf_k10,0.026557829611017155,0.039807061846535534,0.039807061846535534,0.01954528184130257,0.024117456482906266,0.02401535014754302,0.021576682316118936,0.024146732245323793,0.024146732245323793
ENS_BPR__CTR_m_synth_dense_rrf_k30,0.022984667262836277,0.03980532806978322,0.03980532806978322,0.015159625717456987,0.021459921465078885,0.02140327311919464,0.01578638497652582,0.019353621730382294,0.019353621730382294
ENS_BPR__CTR_s_synth_aspect_borda,0.025579738844193997,0.038725572912933916,0.038725572912933916,0.017358122448294256,0.021845815623522797,0.021751456422130815,0.018368544600938966,0.02079234667262836,0.02079234667262836
ENS_BPR__CTR_s_synth_aspect_wBorda_0.5_0.5,0.025579738844193997,0.038725572912933916,0.038725572912933916,0.017358122448294256,0.021845815623522797,0.021751456422130815,0.018368544600938966,0.02079234667262836,0.02079234667262836
ENS_BPR__CTR_all_reviews_text_wBorda_0.3_0.7,0.029596560846560847,0.03856924998511358,0.03856924998511358,0.024280864200214206,0.026700221927655376,0.02667000253649078,0.029049295774647887,0.030719502198375433,0.030719502198375433
